Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/109,2025-10-11,5,6,18,19,30,39,7,39,4,2,3,3,2,2,1,1,0,1,12187540.00,4.5,310180.00,99.5,37400.00,331.5,9600.00,4846.5,640.00,8070.3,320.00,81511.1,40.00,43347710
25/108,2025-10-09,1,3,24,31,39,45,7,24,3,3,5,1,2,0,1,2,1,0,0.00,1,1573960.00,66.5,63110.00,170,9600.00,3427.7,640.00,6534.9,320.00,61582.8,40.00,42293980
25/107,2025-10-06,15,17,19,23,24,34,33,,5,1,4,2,0,3,2,1,0,1.5,54640510.00,9.5,770550.00,425.4,45880.00,1082.5,9600.00,20822.9,640.00,29189.9,320.00,355006,40.00,207006912
25/106,2025-09-30,13,21,33,41,44,46,43,,2,4,4,2,0,1,1,1,3,2,8625000.00,1.5,1390300.00,77.5,71750.00,191.5,9600.00,3948.5,640.00,6402,320.00,75704.3,40.00,53972020
25/105,2025-09-27,8,14,16,18,26,48,44,,4,2,0,6,1,3,1,0,1,0.5,10993635.00,3,665670.00,79,67410.00,223,9600.00,5412.4,640.00,6153,320.00,96769.9,40.00,54672007
25/104,2025-09-25,2,11,22,27,46,47,32,,3,3,3,3,1,1,2,0,2,0,0.00,2.5,803200.00,78.5,68210.00,217.5,9600.00,4405,640.00,6509.5,320.00,84195.9,40.00,53543118
25/103,2025-09-20,8,13,17,24,36,43,41,36,4,2,3,3,1,2,1,1,1,0,0.00,0,0.00,73.5,54160.00,133.5,9600.00,3337.9,640.00,3639.7,320.00,60763.6,40.00,38954741
25/102,2025-09-18,22,33,35,36,37,48,30,"22,33",1,5,3,3,0,0,1,4,1,0.5,4000000.00,1,1593770.00,87.5,48570.00,106.5,9600.00,3351,640.00,3800.2,320.00,58305.9,40.00,40624421
25/101,2025-09-16,14,21,22,28,32,33,25,21,3,3,2,4,0,1,3,2,0,1,13369530.00,0,0.00,110.5,43190.00,236,9600.00,5369.1,640.00,7144.5,320.00,90555.2,40.00,50682812
25/100,2025-09-13,15,21,23,37,47,49,30,21,3,3,6,0,0,1,2,1,2,0,0.00,1,1551870.00,49.5,83600.00,95,9600.00,2431.5,640.00,3022.7,320.00,49391.6,40.00,38153748
25/099,2025-09-11,11,21,22,25,32,44,38,"32,44",3,3,3,3,0,1,3,1,1,1,61448360.00,7.5,498020.00,255.5,38980.00,550,9600.00,12305.4,640.00,13765.5,320.00,206653.7,40.00,107755266
25/098,2025-09-09,7,15,32,40,42,44,9,,2,4,2,4,1,1,0,2,2,0,0.00,3.5,1062310.00,143.5,69090.00,376,9600.00,7092.5,640.00,11476.4,320.00,133197.6,40.00,96617126
25/097,2025-09-06,6,19,22,23,34,43,11,23,4,2,3,3,1,1,2,1,1,0.5,39088490.00,10,605890.00,265,60970.00,747,9600.00,14783.4,640.00,22950,320.00,266089.8,40.00,165747171
25/096,2025-09-02,5,18,23,24,29,49,11,"18,49",4,2,4,2,1,1,3,0,1,0,0.00,6.5,415510.00,128,56260.00,433.5,9600.00,6680.5,640.00,11524.7,320.00,126342.4,40.00,76055719
25/095,2025-08-30,6,18,31,33,44,49,2,"44,49",2,4,3,3,1,1,0,2,2,0,0.00,2,1111470.00,78.5,75510.00,185,9600.00,4803.5,640.00,5608.1,320.00,90032.4,40.00,57755971
25/094,2025-08-28,5,36,39,44,48,49,32,48,1,5,3,3,1,0,0,2,3,0,0.00,3,652820.00,68.5,76240.00,203.5,9600.00,4185,640.00,5477,320.00,74321,40.00,51295514
25/093,2025-08-26,2,3,16,25,38,48,6,,3,3,2,4,2,1,1,1,1,0,0.00,1,1761350.00,62.5,75150.00,208,9600.00,3895.1,640.00,6715.6,320.00,74962.6,40.00,47651847
25/092,2025-08-23,17,22,26,36,39,45,14,45,2,4,3,3,0,1,2,2,1,0,0.00,0,0.00,40.5,94840.00,100.5,9600.00,2777.2,640.00,3225.5,320.00,51327.1,40.00,36416094
25/091,2025-08-21,6,8,10,23,32,45,3,"32,45",4,2,2,4,3,0,1,1,1,1,8000000.00,4.5,265370.00,95.5,33340.00,256,9600.00,4261.1,640.00,7062,320.00,72440.1,40.00,37044040
25/090,2025-08-19,28,32,34,37,45,49,7,32,0,6,3,3,0,0,1,3,2,1,18419800.00,0.5,1006135.00,51.5,104190.00,166.5,9600.00,3231.5,640.00,5159.2,320.00,64811.5,40.00,50584316
25/089,2025-08-16,4,10,15,20,32,38,26,,4,2,1,5,2,2,0,2,0,0,0.00,4.5,324660.00,80.5,48390.00,294.5,9600.00,3536.8,640.00,6516.2,320.00,64785.2,40.00,41731846
25/088,2025-08-14,1,13,25,27,31,34,33,,2,4,5,1,1,1,2,2,0,0,0.00,1,1300870.00,50.5,68690.00,157,9600.00,2956.9,640.00,4880.4,320.00,57108.7,40.00,35353084
25/087,2025-08-12,8,16,18,28,29,32,20,,3,3,1,5,1,2,2,1,0,2,7783550.00,4.5,358910.00,179.5,23990.00,299.9,9600.00,7806.1,640.00,7270.3,320.00,111423.8,40.00,50935937
25/086,2025-08-09,25,36,44,45,48,49,13,25,0,6,3,3,0,0,1,1,4,0.5,10721755.00,5.5,363670.00,107,49840.00,214.5,9600.00,4849.5,640.00,5321.5,320.00,73860.5,40.00,52715562
25/085,2025-08-07,3,7,25,29,37,39,8,,2,4,6,0,2,0,2,2,0,0,0.00,0.5,1063275.00,110.5,51310.00,345.7,9600.00,5486.2,640.00,10647.8,320.00,103152.9,40.00,60924937
