Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
16/114,2016-10-04,2,6,10,28,38,40,30,,3,3,0,6,3,0,1,2,0,0.5,12959355.00,1,1874820.00,92,54340.00,334.4,9600.00,5360.3,640.00,8079.3,320.00,93002.2,40.00,49409715
16/113,2016-10-02,7,8,21,22,34,46,6,,4,2,2,4,2,0,2,1,1,0,0.00,0.5,899560.00,59,81310.00,253,9600.00,4314.1,640.00,6837.9,320.00,78362.5,40.00,43875706
16/112,2016-09-29,14,20,28,33,41,48,40,28,2,4,2,4,0,2,1,1,2,0,0.00,1,1999100.00,43,123970.00,132,9600.00,2773,640.00,3713,320.00,54383.2,40.00,38983073
16/111,2016-09-27,12,16,19,23,28,32,27,,4,2,2,4,0,3,2,1,0,0,0.00,1,1568520.00,72.7,57530.00,161,9600.00,3493.6,640.00,4486.4,320.00,61651.4,40.00,35507837
16/110,2016-09-24,1,17,20,34,43,44,42,"43,44",3,3,3,3,1,2,0,1,2,1,26170670.00,1,2366470.00,50.5,124960.00,136,9600.00,3255.5,640.00,4867.5,320.00,64387.7,40.00,46035258
16/109,2016-09-22,5,30,38,43,44,47,14,44,1,5,3,3,1,0,1,1,3,0,0.00,0,0.00,47,123560.00,121,9600.00,2659.5,640.00,4238,320.00,55294.8,40.00,41455850
16/108,2016-09-20,4,16,19,27,41,44,25,,3,3,3,3,1,2,1,0,2,0.5,10360075.00,4,591400.00,81.7,77210.00,181,9600.00,3771.2,640.00,4734.7,320.00,67528.8,40.00,47588946
16/107,2016-09-17,3,18,21,25,31,42,26,25,3,3,4,2,1,1,2,1,1,0,0.00,1,1874420.00,50,99960.00,126,9600.00,2897.7,640.00,3861.1,320.00,56066.5,40.00,37545147
16/106,2016-09-15,24,25,34,35,44,49,30,49,1,5,3,3,0,0,2,2,2,0,0.00,1.5,1158690.00,90.5,51210.00,117,9600.00,3102,640.00,3627.6,320.00,52859.8,40.00,35401214
16/105,2016-09-13,1,13,19,21,38,49,23,38,4,2,5,1,1,2,1,1,1,1.5,55625480.00,11,710240.00,330,63130.00,775.5,9600.00,16064.2,640.00,21582.6,320.00,288971.4,40.00,173013664
16/104,2016-09-10,7,16,32,37,38,46,22,,2,4,2,4,1,1,0,3,1,0,0.00,1.5,1500440.00,58.5,102590.00,204,9600.00,4090.3,640.00,5572.4,320.00,72458.7,40.00,47678029
16/103,2016-09-08,3,4,5,26,45,48,14,48,3,3,3,3,3,0,1,0,2,0,0.00,1,2204510.00,71.5,82210.00,172,9600.00,4113.5,640.00,5325.1,320.00,76951.8,40.00,46696732
16/102,2016-09-06,11,15,33,41,43,48,27,43,2,4,5,1,0,2,0,1,3,0,0.00,2.5,893960.00,63,94590.00,132.5,9600.00,3244.5,640.00,4604.9,320.00,62258.6,40.00,43861879
16/101,2016-09-04,8,25,26,28,38,43,22,8,1,5,2,4,1,0,3,1,1,0.5,9302095.00,3,650000.00,83,62650.00,223,9600.00,4483.4,640.00,6810.6,320.00,81443,40.00,45802000
16/100,2016-09-01,8,11,13,30,34,49,2,34,3,3,3,3,1,2,1,1,1,0,0.00,1,1843760.00,56,87790.00,168.5,9600.00,3216.5,640.00,4759.6,320.00,65687.1,40.00,39507677
16/099,2016-08-30,14,20,21,31,34,42,25,,3,3,2,4,0,2,1,2,1,0.5,7222870.00,1,2148580.00,64.5,88830.00,156,9600.00,3311.4,640.00,4232.7,320.00,65294.3,40.00,43191955
16/098,2016-08-27,3,6,13,24,37,43,30,,4,2,4,2,2,1,1,1,1,0,0.00,1,1516570.00,51.5,78520.00,124.5,9600.00,2735.9,640.00,3869.2,320.00,54343,40.00,32349060
16/097,2016-08-25,4,20,34,35,40,47,3,,2,4,2,4,1,1,0,3,1,1,36248280.00,3,924990.00,77.5,95480.00,219.5,9600.00,4287.9,640.00,5895.9,320.00,82751.3,40.00,56255099
16/096,2016-08-23,14,16,24,25,43,44,3,,3,3,2,4,0,2,2,0,2,0.5,27923330.00,2,1899430.00,128.5,78830.00,286.5,9600.00,7145.5,640.00,8763,320.00,122840.1,40.00,79392309
16/095,2016-08-20,2,3,15,28,46,48,33,"3,46",3,3,2,4,2,1,1,0,2,0,0.00,3,963100.00,64.5,119450.00,209,9600.00,4705,640.00,6905.7,320.00,92097.6,40.00,59404718
16/094,2016-08-18,3,17,20,22,45,46,30,"20,46",4,2,3,3,1,2,1,0,2,0,0.00,2,1436730.00,70.5,108680.00,169.5,9600.00,3753.5,640.00,5137.5,320.00,74926.7,40.00,55039851
16/093,2016-08-16,5,12,14,20,27,46,26,,4,2,2,4,1,3,1,0,1,0,0.00,2,1124540.00,90,66630.00,214.5,9600.00,4774.9,640.00,6528.4,320.00,84946.7,40.00,50146104
16/092,2016-08-13,3,4,11,23,44,47,24,"11,23",4,2,4,2,2,1,1,0,2,0,0.00,1,1890900.00,61.5,81990.00,244.5,9600.00,3899.5,640.00,6334.5,320.00,72803.7,40.00,43768215
16/091,2016-08-11,10,11,19,23,30,38,13,,4,2,3,3,1,2,2,1,0,0,0.00,1,1689050.00,93.5,48170.00,184,9600.00,4573.8,640.00,5379.5,320.00,79489,40.00,40682664
16/090,2016-08-09,5,9,13,22,34,39,40,,4,2,4,2,2,1,1,2,0,0,0.00,0,0.00,67,66640.00,123.5,9600.00,3661.8,640.00,3662.2,320.00,66245.1,40.00,36331042
16/089,2016-08-06,2,17,23,32,36,40,3,,3,3,2,4,1,1,1,3,0,1,8000000.00,1.5,1068700.00,57.5,74340.00,156.5,9600.00,2705.2,640.00,4522.7,320.00,49877.8,40.00,34111314
16/088,2016-08-04,10,16,34,41,45,47,7,,2,4,3,3,1,1,0,1,3,1,14233140.00,0,0.00,49.5,111930.00,117,9600.00,2834.5,640.00,3819.2,320.00,52011.3,40.00,39743010
16/087,2016-08-02,7,11,12,19,21,39,49,21,5,1,5,1,1,3,1,1,0,0,0.00,1,1127160.00,83.4,36040.00,212,9600.00,4785.2,640.00,5352.5,320.00,73520.8,40.00,33349936
16/086,2016-07-30,9,21,29,33,35,48,28,35,2,4,5,1,1,0,2,2,1,1,15741020.00,4.5,410180.00,88.5,55610.00,173.5,9600.00,3938.7,640.00,5565.9,320.00,70315.7,40.00,41301316
16/085,2016-07-28,12,20,24,35,39,47,15,,3,3,3,3,0,2,1,2,1,0.5,8021080.00,0,0.00,62.5,93110.00,149.5,9600.00,2916.1,640.00,4024.6,320.00,56043.7,40.00,42258493
16/084,2016-07-26,3,14,17,21,28,49,12,,4,2,4,2,1,2,2,0,1,0,0.00,0,0.00,71,56140.00,160,9600.00,3404.7,640.00,4631.2,320.00,57076.1,40.00,34132637
16/083,2016-07-24,11,18,26,31,39,44,24,"11,44",2,4,3,3,0,2,1,2,1,1,68372410.00,4.5,1068550.00,140,91590.00,343.5,9600.00,7161.6,640.00,10564.4,320.00,136822,40.00,96225046
16/082,2016-07-22,10,11,22,41,44,46,35,46,3,3,2,4,1,1,1,0,3,0.5,53946950.00,6.5,1397430.00,320,75690.00,778.5,9600.00,18226.5,640.00,21103.5,320.00,322335.4,40.00,195054501
16/081,2016-07-19,7,21,27,33,46,47,4,7,2,4,5,1,1,0,2,1,2,0,0.00,5,1376260.00,267,68720.00,624.5,9600.00,13840,640.00,18292.3,320.00,243069.8,40.00,149707089
16/080,2016-07-16,1,2,7,16,24,34,36,16,5,1,2,4,3,1,1,1,0,0,0.00,3.5,452100.00,86.5,48780.00,183.5,9600.00,4277.3,640.00,4751.8,320.00,73708.5,40.00,38075019
16/079,2016-07-14,16,21,30,36,38,47,48,,2,4,2,4,0,1,2,2,1,0,0.00,2.5,607750.00,34.5,117440.00,189.5,9600.00,2432.2,640.00,5500.5,320.00,50352.2,40.00,33853850
16/078,2016-07-12,12,20,31,32,35,45,18,"20,31",2,4,3,3,0,2,0,3,1,1,36859760.00,1.5,2082640.00,71.5,116510.00,230,9600.00,4464.5,640.00,6954.5,320.00,88698.1,40.00,62453477
16/077,2016-07-09,7,19,20,28,30,31,29,31,3,3,3,3,1,2,2,1,0,0,0.00,4.5,422210.00,86,58910.00,326,9600.00,4600.3,640.00,7364.8,320.00,82583.2,40.00,47505745
16/076,2016-07-07,13,14,21,31,38,44,22,"13,44",3,3,3,3,0,2,1,2,1,0,0.00,1,2217530.00,54,109500.00,182,9600.00,3437.5,640.00,4887.9,320.00,65228.9,40.00,45122563
16/075,2016-07-05,1,6,13,17,34,44,38,,4,2,3,3,2,2,0,1,1,0,0.00,0.5,1019325.00,54,100670.00,133.9,9600.00,3557.8,640.00,4431.9,320.00,68640.7,40.00,41965751
16/074,2016-07-02,2,8,16,32,33,37,5,"2,16",3,3,2,4,2,1,0,3,0,0,0.00,2,595420.00,61,52050.00,261.5,9600.00,3097.9,640.00,5009.1,320.00,51487.7,40.00,31258661
16/073,2016-06-30,2,5,6,7,16,29,35,7,5,1,3,3,4,1,1,0,0,1,22324120.00,0.5,790720.00,230,19200.00,211,9600.00,8060.8,640.00,5633.9,320.00,107534.5,40.00,46468294
16/072,2016-06-28,7,13,23,30,32,48,36,,3,3,3,3,1,1,2,1,1,0,0.00,3,631300.00,76,66450.00,263,9600.00,4208.9,640.00,6664.4,320.00,77622.7,40.00,45057208
16/071,2016-06-25,10,15,22,38,42,43,18,,3,3,2,4,1,1,1,1,2,0.5,11898035.00,3,717390.00,59,97270.00,208.5,9600.00,3335.5,640.00,4939.9,320.00,64268.7,40.00,44545953
16/070,2016-06-23,6,9,21,35,48,49,29,"9,21",3,3,4,2,2,0,1,1,2,0,0.00,1.5,1106430.00,107,41360.00,212.5,9600.00,6044.5,640.00,6232,320.00,81408.4,40.00,43180821
16/069,2016-06-21,9,10,20,21,38,39,49,,4,2,3,3,2,1,1,2,0,0,0.00,11,132130.00,168.1,23050.00,298,9600.00,5396.1,640.00,7080,320.00,81649.8,40.00,41656253
16/068,2016-06-18,4,5,8,12,34,37,24,,4,2,2,4,3,1,0,2,0,0,0.00,3.5,345000.00,51,63130.00,225.5,9600.00,3293.6,640.00,5901.4,320.00,62280.1,40.00,32405053
16/067,2016-06-16,19,22,27,29,45,48,4,,2,4,4,2,0,1,3,0,2,2,26446460.00,0.5,1377730.00,108.5,84650.00,239.5,9600.00,4964.5,640.00,6971.9,320.00,99377.9,40.00,68362653
16/066,2016-06-14,13,15,30,36,44,49,37,,2,4,3,3,0,2,1,1,2,0,0.00,4,787320.00,75.5,111230.00,223,9600.00,5350.5,640.00,6009,320.00,101368.4,40.00,64100768
16/065,2016-06-11,10,14,23,29,40,42,11,42,3,3,2,4,1,1,2,1,1,0,0.00,2.5,1104710.00,61,120730.00,209.5,9600.00,3674.9,640.00,6192.6,320.00,75133.1,40.00,54783133
16/064,2016-06-08,4,13,34,36,42,48,19,,2,4,1,5,1,1,0,2,2,0,0.00,0.5,1182070.00,53.5,117830.00,186,9600.00,3727.4,640.00,5157.7,320.00,71845,40.00,48176130
16/063,2016-06-06,2,5,8,12,20,49,47,8,5,1,2,4,3,2,0,0,1,0,0.00,1.5,671440.00,140,19200.00,175,9600.00,5356.7,640.00,4193.5,320.00,74950.5,40.00,31165111
16/062,2016-06-04,8,16,21,32,38,48,11,,3,3,1,5,1,1,1,2,1,0,0.00,1,1613960.00,68.5,62830.00,165.5,9600.00,3787.5,640.00,4452.7,320.00,61520.4,40.00,36522960
16/061,2016-06-02,3,4,19,24,26,34,38,24,4,2,2,4,2,1,2,1,0,0,0.00,1,1577280.00,45,93460.00,123.2,9600.00,3391,640.00,3386.6,320.00,61411.9,40.00,34163569
16/060,2016-05-31,21,24,36,38,39,44,49,"21,36",2,4,2,4,0,0,2,3,1,1,8000000.00,0,0.00,37.5,128470.00,142,9600.00,2720.2,640.00,3742,320.00,51042.6,40.00,36258249
16/059,2016-05-28,21,23,32,33,36,42,20,36,2,4,3,3,0,0,2,3,1,1,21775340.00,4,527960.00,88,63990.00,136,9600.00,3810,640.00,4440.1,320.00,65371.8,40.00,43057874
16/058,2016-05-26,9,15,36,38,46,48,22,46,2,4,2,4,1,1,0,2,2,0,0.00,3,622940.00,69.5,71700.00,219,9600.00,3644.9,640.00,5938,320.00,66199.9,40.00,41989634
16/057,2016-05-24,14,18,33,34,35,46,42,,2,4,2,4,0,2,0,3,1,0,0.00,0,0.00,55.5,88080.00,139,9600.00,3106.2,640.00,3762,320.00,55565.1,40.00,37368734
16/056,2016-05-21,6,13,23,25,44,48,11,,3,3,3,3,1,1,2,0,2,1,22833480.00,1,2209700.00,60,98200.00,156.5,9600.00,3626.5,640.00,5427.7,320.00,68343.1,40.00,45337573
16/055,2016-05-19,2,8,20,24,37,39,18,24,4,2,2,4,2,1,1,2,0,0,0.00,2.5,843540.00,63.5,88560.00,161.5,9600.00,3328.4,640.00,5675.5,320.00,64110.4,40.00,43538318
16/054,2016-05-17,1,19,23,24,32,40,35,,4,2,3,3,1,1,2,2,0,0,0.00,0,0.00,50,100140.00,117,9600.00,2765.6,640.00,3269,320.00,52736.3,40.00,36676426
16/053,2016-05-15,2,11,25,28,36,46,42,,2,4,2,4,1,1,2,1,1,1,13855260.00,1,1951750.00,76,68480.00,175,9600.00,4174.5,640.00,4550,320.00,81800.6,40.00,43293096
16/052,2016-05-12,4,12,19,20,27,49,21,20,4,2,3,3,1,3,1,0,1,0,0.00,1.5,1109510.00,61,72750.00,144.5,9600.00,3479.4,640.00,4339.2,320.00,62253.2,40.00,36454079
16/051,2016-05-10,20,26,28,32,40,45,43,,1,5,1,5,0,1,2,2,1,2,84659780.00,9.5,1880270.00,572,83270.00,1072,9600.00,27315.1,640.00,31992.9,320.00,509572.1,40.00,350471901
16/050,2016-05-05,6,7,12,15,27,36,29,,4,2,3,3,2,2,1,1,0,0,0.00,15,664670.00,513,51820.00,1172.4,9600.00,25463.5,640.00,29673.3,320.00,433678.6,40.00,235990985
16/049,2016-04-30,11,20,28,29,44,49,40,28,2,4,3,3,0,2,2,0,2,0,0.00,2,3482800.00,212,87610.00,613,9600.00,11979.5,640.00,17886.4,320.00,234383.8,40.00,147556973
16/048,2016-04-26,1,3,25,27,28,45,12,,2,4,5,1,2,0,3,0,1,0,0.00,5,705190.00,152,61850.00,490,9600.00,10931.6,640.00,13949.4,320.00,181787.1,40.00,91234839
16/047,2016-04-23,2,10,16,35,46,47,49,,3,3,2,4,2,1,0,1,2,0,0.00,1.5,2242310.00,89.5,100210.00,226.5,9600.00,5551,640.00,7470.5,320.00,103025.8,40.00,68295359
16/046,2016-04-21,3,5,14,15,39,41,21,5,4,2,5,1,2,2,0,1,1,0,0.00,1,3062560.00,78.5,104030.00,206,9600.00,4340.1,640.00,6601.9,320.00,85438.7,40.00,60595924
16/045,2016-04-19,5,8,30,34,45,48,3,45,2,4,2,4,2,0,1,1,2,0,0.00,1,2427070.00,75.5,85720.00,236,9600.00,4381,640.00,6471.8,320.00,79439.6,40.00,52034790
16/044,2016-04-17,16,24,28,35,45,46,38,46,2,4,2,4,0,1,2,1,2,0,0.00,2,1054360.00,77,73020.00,227,9600.00,4130,640.00,5657,320.00,72634.6,40.00,46271339
16/043,2016-04-14,14,21,25,27,44,46,3,"21,25,46",2,4,3,3,0,1,3,0,2,0,0.00,1,2151790.00,50,114760.00,150.5,9600.00,2989,640.00,4681.6,320.00,59126.2,40.00,42564768
16/042,2016-04-12,21,25,28,33,46,48,10,,1,5,3,3,0,0,3,1,2,0.5,15005990.00,3.5,720630.00,77,87350.00,198,9600.00,3940,640.00,5750.5,320.00,75207,40.00,51386592
16/041,2016-04-09,3,6,13,38,43,44,31,,3,3,3,3,2,1,0,1,2,0,0.00,1,1915350.00,66.5,76800.00,167,9600.00,3645.7,640.00,4551.4,320.00,66922.8,40.00,40929150
16/040,2016-04-07,8,21,25,32,34,45,31,21,2,4,3,3,1,0,2,2,1,0.5,15447620.00,0.5,1251585.00,75,89000.00,156.4,9600.00,3446.2,640.00,4884,320.00,68212.2,40.00,48771580
16/039,2016-04-05,4,10,21,30,35,43,7,4,3,3,3,3,2,0,2,1,1,0,0.00,1,2124200.00,64.5,87820.00,233.5,9600.00,3346.5,640.00,6573.6,320.00,65407.2,40.00,45676156
16/038,2016-04-02,4,6,29,34,36,45,47,,2,4,2,4,2,0,1,2,1,0,0.00,0.5,1110060.00,84.5,70060.00,175,9600.00,4687.9,640.00,4740,320.00,81219.3,40.00,47612006
16/037,2016-03-29,9,12,13,22,30,31,28,,4,2,3,3,1,2,2,1,0,0.5,9242675.00,1,1472950.00,153.4,25600.00,274.5,9600.00,6433,640.00,7091.1,320.00,94176.5,40.00,43665541
16/036,2016-03-26,17,24,38,44,46,47,27,46,2,4,2,4,0,1,1,1,3,0,0.00,2,874100.00,34.5,135120.00,125,9600.00,2248,640.00,3964,320.00,46757.5,40.00,34416587
16/035,2016-03-24,16,18,21,25,35,46,13,18,3,3,3,3,0,2,2,1,1,0,0.00,0.5,821840.00,34.5,127040.00,105.5,9600.00,2105.9,640.00,3119.8,320.00,41745.1,40.00,31611728
16/034,2016-03-22,5,10,18,24,27,49,39,,4,2,3,3,2,1,2,0,1,2,8048860.00,1,1595710.00,86.5,61490.00,127.5,9600.00,4512.9,640.00,4208.6,320.00,81905.9,40.00,43237087
16/033,2016-03-19,23,25,35,39,42,43,14,,1,5,5,1,0,0,2,2,2,0,0.00,0,0.00,36,127020.00,90.7,9600.00,2248.7,640.00,2909.2,320.00,41897.3,40.00,32370053
16/032,2016-03-17,3,8,15,16,17,38,35,,5,1,3,3,2,3,0,1,0,3,9717420.00,3,606620.00,241,20130.00,320.5,9600.00,7770.4,640.00,7838,320.00,118119.4,40.00,52991029
16/031,2016-03-15,1,6,19,26,28,41,39,41,3,3,3,3,2,1,2,0,1,0,0.00,0,0.00,97.5,62360.00,172.5,9600.00,4407,640.00,5129.8,320.00,82839.6,40.00,48401450
16/030,2016-03-12,3,23,33,36,41,49,2,33,2,4,5,1,1,0,1,2,2,0,0.00,1,1900790.00,42,120680.00,155.5,9600.00,3042.6,640.00,4433.8,320.00,59373.4,40.00,39183478
16/029,2016-03-10,9,14,24,30,33,48,43,30,3,3,2,4,1,1,2,1,1,0,0.00,0.5,869235.00,48,96580.00,124,9600.00,2811,640.00,3402,320.00,57177.3,40.00,35372752
16/028,2016-03-08,3,4,16,30,34,39,14,,3,3,2,4,2,1,1,2,0,1.5,14174240.00,4,585560.00,194.5,32110.00,247.7,9600.00,5460.9,640.00,6128.2,320.00,84314.4,40.00,52529547
16/027,2016-03-05,17,26,29,32,48,49,40,,1,5,3,3,0,1,2,1,2,0,0.00,2.5,644500.00,85.5,50250.00,322.5,9600.00,3674.5,640.00,6972.6,320.00,64001.7,40.00,40820572
16/026,2016-03-03,1,2,5,7,16,45,33,16,5,1,4,2,4,1,0,0,1,0,0.00,0,0.00,60.5,61740.00,144.5,9600.00,5587,640.00,4546.9,320.00,85416.6,40.00,37216037
16/025,2016-03-01,11,16,19,21,30,33,31,11,4,2,4,2,0,3,2,1,0,5,27218060.00,24,848470.00,795,68300.00,1980.5,9600.00,40930.4,640.00,54231.2,320.00,732713.6,40.00,446395296
16/024,2016-02-27,6,9,11,20,27,44,42,6,4,2,3,3,2,2,1,0,1,1,29307500.00,1,2238990.00,135.5,44060.00,215,9600.00,6817.9,640.00,5987.6,320.00,113157,40.00,54208592
16/023,2016-02-25,3,6,22,24,45,47,7,"24,45",4,2,3,3,2,0,2,0,2,0,0.00,1.5,1572550.00,62.5,100640.00,196,9600.00,4027.5,640.00,6521.2,320.00,79291.9,40.00,49997292
16/022,2016-02-23,9,15,24,27,44,45,47,44,3,3,4,2,1,1,2,0,2,0,0.00,2,1252330.00,82.5,80950.00,182,9600.00,4323.1,640.00,5321,320.00,78089.3,40.00,51276856
16/021,2016-02-20,12,20,39,44,47,49,45,"20,39",2,4,3,3,0,2,0,1,3,0,0.00,1,1770980.00,34,138900.00,109,9600.00,2314,640.00,3956.5,320.00,46195.9,40.00,34473261
16/020,2016-02-18,13,20,38,39,41,45,46,,2,4,4,2,0,2,0,2,2,1,24693930.00,3,880810.00,64,110100.00,159,9600.00,3766,640.00,4555,320.00,72810.6,40.00,51232046
16/019,2016-02-16,18,21,22,34,42,43,24,43,3,3,2,4,0,1,2,1,2,0,0.00,2,1180400.00,73,86230.00,206.5,9600.00,3873.7,640.00,4948.7,320.00,66958.4,40.00,48182858
16/018,2016-02-13,8,14,24,29,36,43,31,,3,3,2,4,1,1,2,1,1,0,0.00,0,0.00,58.5,76770.00,104,9600.00,2685.1,640.00,3455.6,320.00,51241.1,40.00,33723116
16/017,2016-02-11,3,4,17,30,35,47,10,,3,3,4,2,2,1,1,1,1,1,54916660.00,7,805550.00,161,93390.00,567.5,9600.00,9372.8,640.00,15855.7,320.00,178770.8,40.00,120336644
16/016,2016-02-07,11,13,15,19,21,29,41,"13,15",5,1,6,0,0,4,2,0,0,1,8000000.00,2,809280.00,211.5,20400.00,172,9600.00,5874.8,640.00,4092.2,320.00,64366.6,40.00,39171989
16/015,2016-02-04,7,13,15,35,38,45,32,,3,3,5,1,1,2,0,2,1,1,8000000.00,1,1594170.00,71,59870.00,168,9600.00,4039.7,640.00,4042.3,320.00,62855.7,40.00,36453488
16/014,2016-02-02,18,28,30,33,34,36,2,,1,5,1,5,0,1,2,3,0,1.5,19497340.00,2,1157580.00,119.5,51660.00,284.5,9600.00,5857.6,640.00,8184.8,320.00,97036.3,40.00,55447401
16/013,2016-01-30,1,5,29,32,39,44,4,,2,4,4,2,2,0,1,2,1,0,0.00,1.5,1557300.00,57.5,108330.00,136.5,9600.00,2867.5,640.00,4904.7,320.00,60458.6,40.00,44901369
16/012,2016-01-28,8,20,30,34,42,48,36,,2,4,0,6,1,1,1,1,2,0,0.00,3,639230.00,71,72020.00,149,9600.00,3274.5,640.00,4331.6,320.00,65298.4,40.00,39950603
16/011,2016-01-26,5,9,22,26,27,40,13,,3,3,3,3,2,0,3,1,0,0,0.00,0.5,791350.00,54.5,77440.00,228.2,9600.00,3933,640.00,5765.2,320.00,71913,40.00,38933594
16/010,2016-01-23,7,8,12,14,23,32,5,12,5,1,2,4,2,2,1,1,0,0.5,4000000.00,4.5,213230.00,89,28750.00,254.2,9600.00,4011.9,640.00,6440,320.00,63518,40.00,30813059
16/009,2016-01-21,2,12,33,40,45,47,9,,2,4,3,3,1,1,0,2,2,1,22509740.00,3,703480.00,71.5,78710.00,212,9600.00,4455.5,640.00,5948,320.00,72555.9,40.00,46580521
16/008,2016-01-19,8,18,20,25,30,39,13,,3,3,2,4,1,2,2,1,0,0.5,16178395.00,1,2604500.00,107,64900.00,238,9600.00,6539.8,640.00,7476.6,320.00,114917,40.00,60259413
16/007,2016-01-16,1,2,6,37,40,43,24,"1,2",3,3,3,3,3,0,0,2,1,0,0.00,0,0.00,46,134580.00,133,9600.00,2666.5,640.00,4126.6,320.00,62477.4,40.00,44094640
16/006,2016-01-14,1,2,10,23,32,49,26,,4,2,3,3,3,0,1,1,1,0.5,15256835.00,1.5,1437890.00,151,38090.00,341.7,9600.00,6896.3,640.00,8058.3,320.00,112766.1,40.00,56637640
16/005,2016-01-12,8,13,15,35,44,45,47,"8,15,45",3,3,4,2,1,2,0,1,2,0,0.00,1,2492050.00,59.5,111680.00,144.5,9600.00,4134.6,640.00,4822,320.00,73070.4,40.00,49548124
16/004,2016-01-10,4,8,15,18,30,45,38,,4,2,2,4,2,2,1,0,1,0,0.00,0,0.00,72,73160.00,179.5,9600.00,4161.8,640.00,5349.5,320.00,74797.6,40.00,43632963
16/003,2016-01-07,6,9,11,29,43,47,8,,3,3,5,1,2,1,1,0,2,0,0.00,0.5,665650.00,84,42260.00,213,9600.00,3534.9,640.00,6759.1,320.00,64798.3,40.00,34842788
16/002,2016-01-05,2,5,7,18,30,45,11,,4,2,3,3,3,1,1,0,1,1.5,53159400.00,9,559800.00,238,56450.00,749,9600.00,12040.3,640.00,18964.4,320.00,212019.3,40.00,122881098
16/001,2016-01-02,6,8,11,32,34,41,47,11,3,3,2,4,2,1,0,2,1,0,0.00,1,5541450.00,145,101910.00,371.5,9600.00,8840.7,640.00,10724.5,320.00,177015.5,40.00,111729038
15/152,2015-12-31,2,11,12,22,24,25,3,,5,1,2,4,1,2,3,0,0,0,0.00,6.5,282810.00,250.5,19560.00,616,9600.00,9605.8,640.00,11912.5,320.00,132935,40.00,62348733
15/151,2015-12-29,3,5,20,30,33,38,28,33,3,3,3,3,2,1,1,2,0,0,0.00,2.5,964550.00,102.5,62730.00,272.5,9600.00,5353.9,640.00,7948.4,320.00,96372.6,40.00,55753074
15/150,2015-12-26,1,8,33,37,42,47,7,"33,47",2,4,4,2,2,0,0,2,2,0,0.00,1,1984620.00,40,132300.00,194,9600.00,3033.2,640.00,6474,320.00,59678.4,40.00,42225661
15/149,2015-12-24,12,18,20,28,33,47,25,28,3,3,2,4,0,3,1,1,1,0,0.00,1,1915970.00,63,81090.00,196.5,9600.00,4123.7,640.00,5832.2,320.00,75966.6,40.00,43457391
15/148,2015-12-22,11,28,36,38,44,48,26,11,1,5,1,5,0,1,1,2,2,0,0.00,2,905760.00,59,81870.00,159.5,9600.00,3432.5,640.00,4553.2,320.00,65407.3,40.00,39023464
15/147,2015-12-20,6,11,16,20,43,45,21,"20,45",4,2,3,3,1,3,0,0,2,0,0.00,2,819560.00,38.5,113530.00,100,9600.00,2368.7,640.00,3371.2,320.00,46892.6,40.00,32293857
15/146,2015-12-17,18,20,24,36,44,45,39,18,3,3,1,5,0,2,1,1,2,1,21007130.00,1.5,1420580.00,51.5,110330.00,135.5,9600.00,3144.6,640.00,4071.2,320.00,58278.1,40.00,41774248
15/145,2015-12-15,18,22,40,41,48,49,42,18,2,4,2,4,0,1,1,1,3,0,0.00,3,552120.00,65,67950.00,340,9600.00,3661,640.00,5262.5,320.00,62980.2,40.00,40638725
15/144,2015-12-12,16,18,27,35,42,44,33,,2,4,2,4,0,2,1,1,2,0,0.00,0,0.00,38,115460.00,106,9600.00,1966.2,640.00,3183.3,320.00,39306.4,40.00,31334690
15/143,2015-12-10,9,24,29,32,34,47,42,9,2,4,3,3,1,0,2,2,1,1,8000000.00,0,0.00,54,80060.00,97.5,9600.00,2250.2,640.00,2854.5,320.00,43917.2,40.00,31340945
15/142,2015-12-08,9,10,25,40,48,49,32,,2,4,3,3,2,0,1,1,2,1,12180010.00,3.5,398090.00,190.5,19500.00,208.5,9600.00,6914.2,640.00,4494,320.00,87884.5,40.00,39977331
15/141,2015-12-05,6,16,19,34,35,46,9,,3,3,2,4,1,2,0,2,1,0,0.00,2,590000.00,70,44950.00,194.5,9600.00,3224.5,640.00,4681.4,320.00,49822.1,40.00,29752829
15/140,2015-12-03,4,11,14,41,42,44,10,,3,3,2,4,1,2,0,0,3,1,12596600.00,3,510730.00,152.5,26790.00,232,9600.00,4074.7,640.00,5000,320.00,63213.2,40.00,37386018
15/139,2015-12-01,8,9,10,22,33,40,28,,4,2,2,4,3,0,1,2,0,0,0.00,2,504830.00,102.5,26260.00,289,9600.00,5443.2,640.00,7636.5,320.00,80157.9,40.00,34244736
15/138,2015-11-28,15,21,24,25,28,31,48,25,3,3,4,2,0,1,4,1,0,1,34943110.00,1,2407920.00,67,95830.00,184,9600.00,3970.4,640.00,5548,320.00,77973.3,40.00,49707832
15/137,2015-11-26,10,17,25,26,39,44,7,"17,44",2,4,3,3,1,1,2,1,1,0,0.00,3.5,639620.00,66.5,89770.00,181,9600.00,3506.2,640.00,5731.4,320.00,68112,40.00,46186621
